,Type,Related url,planned/unplanned,Cause,Body,Start Time,End Time,Duration,Context
25,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/704,unplanned,Unknown,"Add dev container support for project Currently, there's a contributor.md file that looks to be out of date. I think it's confusing for new contributors to join and meaningfully contribute to the project because getting set up is somewhat complicated. This introduces a VSCode dev container solution for all developers to share a dev environment including proper linting, requirements, and extensions. I think this will make it easier for additional contributors to join without friction and improve the project. Let me know if there are any other customizations you'd want developers to be set up with for this project. Because this repo is on github, this will also allows anyone to develop from the web browser using Github codespaces and still have a proper dev environment set up.",2024-03-23T22:47:29Z,2024-03-28T16:34:32Z,4 days 17:47:03,add dev container support project currently theres contributormd file look date think confuse new contributor join meaningfully contribute project get set somewhat complicated introduces vscode dev container solution developer share dev environment include proper linting requirement extension think make easy additional contributor join without friction improve project let know customizations youd want developer set project repo github also allow anyone develop web browser use github codespaces still proper dev environment set
26,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/701,unplanned,Unknown,"feat: Add support for additional Anthropic models This commit updates the `Claude` class to support additional models provided by the Anthropic API:

- claude-2.0
- claude-2.1
- claude-3-opus-20240229
- claude-3-haiku-20240307
- claude-3-sonnet-20240229

The `__init__` method of the `Claude` class has been modified to include a list of supported models. When creating an instance of the `Claude` class, the `model` parameter can be set to any of the supported model names. If an unsupported model is provided, a `ValueError` is raised with a message indicating the supported models.

This change allows users to utilize the newly added models for generating completions using the Anthropic API.",2024-03-23T09:50:29Z,2024-03-26T20:54:18Z,3 days 11:03:49,feat add support additional anthropic model commit updates claude class support additional model provide anthropic api init method claude class modify include list supported model create instance claude class model parameter set support model name unsupported model provide valueerror raise message indicate supported model change allow user utilize newly add model generate completion use anthropic api
27,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/700,unplanned,Unknown,(style) adding docstrings to the synthetic data generator class None,2024-03-23T02:40:07Z,2024-04-01T18:01:14Z,9 days 15:21:07,style add docstrings synthetic data generator class none
28,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/698,unplanned,Unknown,"docs(dspy): fix typo to run tests Signed-off-by: hsm207 <hsm207@users.noreply.github.com>

## 📝 Changes Description

This MR/PR contains the following changes:

Fix typo to run tests.

This:

```bash
poetry install --with test
```

gives the following error:

```
Group(s) not found: test (via --with)
```

## ✅ Contributor Checklist

- [x] Pre-Commit checks are passing (locally and remotely)
- [x] Title of your PR / MR corresponds to the required format
- [x] Commit message follows required format {label}(dspy): {message}

## ⚠️ Warnings

Anything we should be aware of ?
No",2024-03-22T18:23:33Z,2024-03-23T23:26:06Z,1 days 05:02:33,docsdspy fix typo run test signedoffby change description mrpr contains follow change fix typo run test bash poetry install test give follow error group find test via contributor checklist precommit check pass locally remotely title pr mr corresponds require format commit message follow require format labeldspy message warning anything aware
30,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/696,unplanned,Unknown,docs: fixes typos None,2024-03-22T11:19:49Z,2024-03-24T19:53:08Z,2 days 08:33:19,doc fix typos none
32,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/693,unplanned,Unknown,Fix Retry for TypedPredictors This simple PR aims to fix the errors and signature inconsistencies when using Assertions and Suggestions with modules with TypedPredictors.,2024-03-21T19:58:28Z,2024-03-26T23:08:16Z,5 days 03:09:48,fix retry typedpredictors simple pr aim fix error signature inconsistency use assertion suggestion module typedpredictors
33,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/692,unplanned,Unknown,Test for model_validator For Neoxelox,2024-03-21T19:44:39Z,2024-03-21T19:44:48Z,0 days 00:00:09,test modelvalidator neoxelox
35,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/689,unplanned,Unknown,Fixing claude None,2024-03-20T23:21:19Z,2024-03-20T23:21:26Z,0 days 00:00:07,fix claude none
36,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/684,unplanned,Unknown,"Add initial Logger I decided to go ahead and add a small default logger for DSPy.
The implementation is fairly simple to use at the library level, offers rich output, has minimal dependencies, and allows alot of flexibility for default formatting should we choose to set some specific structure up.

At a high level, its implemented using [structlog](https://www.structlog.org/en/stable/index.html).
Structlog is a lightweight library (no dependencies) which wraps logging for improved ergonomics.

It is set up to be used with two methods exposed at the `dspy` level.

## How to Log Anything

```python
import dspy

# To log a basic info message
dspy.logger.info(""hello world!"")

# Similar methods exist for all other log levels (INFO, DEBUG, WARNING, CRITICAL, ERROR):
dspy.logger.debug(""hello world from debug!"")
````

## On Log Levels

The visual log level defaults to INFO, but can be overrided in two simple ways:

**Via Environment Variable:**

```bash
LOG_LEVEL=info python dspy_program.py
````

**Via Code:**

```python
import dspy

# Since the default level is set to INFO, this wont print to the console
dspy.logger.debug(""this won't print to console"")

# Update the log level to show debug items
dspy.set_log_level(""debug"")

dspy.logger.debug(""this WILL print to console"")
````

**Log Output**

A few utilities have been added to either print the log to console, or file, and whether to output it as a string, or json.

````python
import dspy

# This will print to console as a str
dspy.logger.info(""this will show in console str formatted"")

# Change output from str to json
dspy.set_log_output(output_type=""json"")

# This will print to console as json
dspy.logger.info(""this will show in console as a json object"")

# Change output method from console to file
dspy.set_log_output(method=""file"", file_name=""log.txt"")

# This will append to log.txt as a json
dspy.logger.info(""this will show in console as a json object"")

````
",2024-03-20T15:22:22Z,2024-03-25T22:27:53Z,5 days 07:05:31,add initial logger decide go ahead add small default logger dspy implementation fairly simple use library level offer rich output minimal dependency allow alot flexibility default format choose set specific structure high level implement use structlog lightweight library dependency wrap log improve ergonomics set use two method expose dspy level log anything python import dspy log basic info message dspyloggerinfohello world similar method exist log level info debug warn critical error dspyloggerdebughello world debug log level visual log level default info override two simple way via environment variable bash loglevelinfo python dspyprogrampy via code python import dspy since default level set info wont print console dspyloggerdebugthis wont print console update log level show debug item dspysetlogleveldebug dspyloggerdebugthis print console log output utility add either print log console file whether output string json python import dspy print console str dspyloggerinfothis show console str format change output str json dspysetlogoutputoutputtypejson print console json dspyloggerinfothis show console json object change output method console file dspysetlogoutputmethodfile filenamelogtxt append logtxt json dspyloggerinfothis show console json object
38,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/679,unplanned,Unknown,"Added support for the latest Anthropic models. feat: Add support for additional Anthropic models

This commit updates the `Claude` class to support additional models provided by the Anthropic API:

- claude-2.0
- claude-2.1
- claude-3-opus-20240229
- claude-3-haiku-20240307
- claude-3-sonnet-20240229

The `__init__` method of the `Claude` class has been modified to include a list of supported models. When creating an instance of the `Claude` class, the `model` parameter can be set to any of the supported model names. If an unsupported model is provided, a `ValueError` is raised with a message indicating the supported models.

This change allows users to utilize the newly added models for generating completions using the Anthropic API.",2024-03-19T16:52:38Z,2024-03-23T09:27:52Z,3 days 16:35:14,added support late anthropic model feat add support additional anthropic model commit updates claude class support additional model provide anthropic api init method claude class modify include list supported model create instance claude class model parameter set support model name unsupported model provide valueerror raise message indicate supported model change allow user utilize newly add model generate completion use anthropic api
39,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/677,unplanned,Unknown,"Fix save and load state of program with typed predictors This simple PR aims to fix the `Pydantic model is not JSON serializable` error when saving the state of a compiled program that uses `TypedPredictors`.

However, this fix assumes that the demos of the predictors don't need to keep the same types after saving and loading their states. In older versions of DSPy the type was preserved, but after this commit it changed: https://github.com/stanfordnlp/dspy/commit/b9516c45dbcdedbed6b71dab7cd4a6c1024e0dcf

If that is not expected... then I don't how we would load the state to the pipeline. The JSON cannot know about the Pydantic models. A solution would be to pickle everything. Unfortunately I wasn't able to pickle the pipeline either, because it crashes on the dynamically created Pydantic models of the augmented TypedCoTs signatures.",2024-03-19T12:30:05Z,2024-03-25T10:34:33Z,5 days 22:04:28,fix save load state program type predictor simple pr aim fix pydantic model json serializable error save state compile program us typedpredictors however fix assumes demos predictor dont need keep type save load state older version dspy type preserve commit change expect dont would load state pipeline json cannot know pydantic model solution would pickle everything unfortunately wasnt able pickle pipeline either crash dynamically create pydantic model augment typedcots signature
40,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/675,unplanned,Unknown,Add GPT-4 Vision support to LM class None,2024-03-19T03:44:44Z,2024-03-19T18:22:59Z,0 days 14:38:15,add vision support lm class none
41,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/674,unplanned,Unknown,"Complete LM/Backend Interoperability This PR completes the Backend/Language Model v1 interoperability feature for DSPy.

All tests are passing, and we should be fairly close to merge to main.
There were a few small changes to COPRO/MIPRO optimizers, that I believe are due to inconsistencies in the functionality, so we may want to double check those.

@CyrusOfEden ",2024-03-19T00:41:15Z,2024-03-22T15:51:13Z,3 days 15:09:58,complete lmbackend interoperability pr complete backendlanguage model interoperability feature dspy test pass fairly close merge main small change copromipro optimizers believe due inconsistency functionality may want double check cyrusofeden
42,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/673,unplanned,Unknown,"TypedPredictor improvements Main improvement: Self explaining errors, ReACT prompting style. This is an optional feature that sometimes help the LLM learn from past errors.",2024-03-18T21:42:39Z,2024-03-18T21:46:57Z,0 days 00:04:18,typedpredictor improvement main improvement self explain error react prompt style optional feature sometimes help llm learn past error
43,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/671,unplanned,Unknown,integrate guidance library None,2024-03-18T18:34:03Z,2024-03-18T18:35:05Z,0 days 00:01:02,integrate guidance library none
44,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/669,unplanned,Unknown,"bug(dspy): Ran ruff check . --fix-only Ran `ruff check . --fix-only`

Lint error comes from #581 being merged without passing 4/4 CI. Everything working as intended.",2024-03-18T11:33:38Z,2024-03-18T11:36:09Z,0 days 00:02:31,bugdspy run ruff check fixonly run ruff check fixonly lint error come merge without pass ci everything work intend
45,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/667,unplanned,Unknown,"Fix for system-prompt This is PR/Fix for differentiating between system prompts and user inputs within the Chat Completions type of scenario. 

How?
By implementing a signature modification in the class's docstring, we enable the passing of optional system instruction prompts, marked by a specific keyword and delimiter. 

Why?

The distinction is critical for improving the model's interaction accuracy and response quality.

Tests?
Initial impact assessment indicates that critical features like chain of thought and program of thought, along with the predict method, can utilize this approach without needing significant modifications. These components will inherently benefit from the ability to include system instructions seamlessly within their operational logic.  


Note:  This update is proposed as a proof of concept (POC) at this stage. I",2024-03-18T02:43:07Z,2024-03-18T02:44:07Z,0 days 00:01:00,fix systemprompt prfix differentiate system prompt user input within chat completion type scenario implementing signature modification class docstring enable pass optional system instruction prompt mark specific keyword delimiter distinction critical improving model interaction accuracy response quality test initial impact assessment indicate critical feature like chain think program think along predict method utilize approach without need significant modification component inherently benefit ability include system instruction seamlessly within operational logic note update propose proof concept poc stage
47,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/665,unplanned,Unknown,"feat(program_of_thought): added support for custom import whitelist and added dynamic input and output field names for PoT  While, the PythonInterpreter and CodePrompt modules allowed for importing a white_list, this functionality hadn't been made available directly inside ProgramofThought. This was causing repeated hinderance when language models would try to use any math packages that were not allowed like sympy etc, which makes for a bad dev UX.",2024-03-17T18:28:41Z,2024-03-25T07:09:35Z,7 days 12:40:54,featprogramofthought add support custom import whitelist add dynamic input output field names pot pythoninterpreter codeprompt module allow import whitelist functionality hadnt make available directly inside programofthought cause repeat hinderance language model would try use math package allow like sympy etc make bad dev ux
49,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/660,unplanned,Unknown,Recreate intro.ipynb from March 13th None,2024-03-15T21:54:44Z,2024-03-15T22:07:56Z,0 days 00:13:12,recreate introipynb march none
50,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/659,unplanned,Unknown,Intro fix Recreate intro.ipynb from March 13th,2024-03-15T21:53:10Z,2024-03-15T21:53:28Z,0 days 00:00:18,intro fix recreate introipynb march
52,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/657,unplanned,Unknown,"fix(ruff) | Ruff accidentally has been deleted from pre-commit What is the change?
- ruff came back to the repo pre-commit

Why the change is important?
- it will bring lots of merge conflicts later on if the IDE doesn't have the same config.

How to test?
- test it with your IDE

Note:
This has been removed accidentally in https://github.com/stanfordnlp/dspy/pull/611 which I just reverted the file.",2024-03-15T20:24:51Z,2024-03-18T00:48:58Z,2 days 04:24:07,fixruff ruff accidentally delete precommit change ruff come back repo precommit change important bring lot merge conflict later ide doesnt config test test ide note remove accidentally revert file
